code;new_category (pnns_groups_2)
7,31086E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,41489E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
4,74013E+12;Protein snacks and drinks
6,42177E+12;Protein snacks and drinks
6,43857E+12;Protein snacks and drinks
6,43857E+12;Protein snacks and drinks
6,43857E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,41489E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,41232E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,43004E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,41645E+12;Protein snacks and drinks
6,41645E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,43004E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
7,35E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
5,70419E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,4112E+12;Protein snacks and drinks
6,4112E+12;Protein snacks and drinks
6,42981E+12;Protein snacks and drinks
6,43005E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
7,35E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
5,41119E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
5,0604E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
4,0118E+12;Protein snacks and drinks
5,00016E+12;Protein snacks and drinks
5,0604E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
